Make,Broad.phase.of.flight,Incident Count
107.5 Flying Corporation,Unknown,1
1200,Maneuvering,1
177MF LLC,Unknown,1
1977 Colfer-chan,Landing,1
1st Ftr Gp,Maneuvering,1
2000 Mccoy,Cruise,1
2001 Mcgirl,Approach,1
2003 Nash,Cruise,1
2007 Savage Air LLC,Unknown,1
2021FX3 LLC,Unknown,2
3XTRIM,Unknown,1
5 RIVERS LLC,Unknown,1
67 Flying Dutchman,Cruise,1
737,Unknown,2
777,Unknown,1
781569 INC,Unknown,1
85 Manista,Maneuvering,1
A Pair Of Jacks,Landing,1
A. H. Gettings,Takeoff,1
A. Le Francois,Takeoff,1
A. Schleicher GMBH & Co.,Unknown,1
AAA AIRCRAFT LLC,Unknown,1
AARDEMA ROBERT JOHN,Unknown,1
AB SPORTINE AVIACIJA,Unknown,3
AB Sportine Aviacija,Unknown,1
ABBETT GERRY,Unknown,1
ABBEY VICTOR,Unknown,1
ACKLAND JEFFREY DEAN,Unknown,1
ACRO,Unknown,1
ADAMS,Unknown,1
ADAMS BALLOONS LLC,Unknown,1
ADAMS DENNIS ALLEN,Unknown,1
ADAMS DONALD L,Unknown,1
ADAMS JOHN R JR,Unknown,1
ADRIAN GEORGE W,Unknown,1
AERMACCHI,Unknown,1
AERO ADVENTURE,Unknown,1
AERO AT SP ZOO,Unknown,1
AERO COMMANDER,Unknown,69
AERO SMART SOLUTIONS INC,Unknown,1
AERO SP Z O O,Unknown,4
AERO TEK INC.,Unknown,1
AERO VODOCHODY,Unknown,10
AERO-ACE,Unknown,1
AEROFAB INC,Unknown,2
AEROFAB INC.,Unknown,1
AEROLITE,Unknown,1
AEROMOT,Unknown,3
AERONCA,Unknown,149
AEROPRAKT,Unknown,2
AEROPRAKT MANUFACTURING SP ZOO,Unknown,1
AEROPRO CZ,Unknown,10
AEROPRO CZ S R O,Unknown,3
AEROS,Unknown,2
AEROS LTD,Unknown,3
AEROS LTD/SKYRANGER AIRCRAFT,Unknown,1
AEROSPATIALE,Unknown,46
AEROSPATIALE ALENIA,Unknown,1
AEROSPOOL,Unknown,1
AEROSPORT LTD,Unknown,1
AEROSTAR,Unknown,2
AEROSTAR ACFT CORP OF TEXAS,Unknown,3
AEROSTAR AIRCRAFT CORPORATION,Unknown,1
AEROSTAR INTERNATIONAL,Unknown,8
AEROSTAR INTERNATIONAL INC,Unknown,12
AEROSTAR S A,Unknown,3
AEROTECHNIK,Unknown,1
AEROTEK,Unknown,8
AEROTEK INC,Unknown,1
AEROTRIKE,Unknown,2
AEROVODOCHODY,Unknown,4
AFICIONADO,Unknown,1
AG-CAT CORPORATION,Unknown,1
AGUSTA,Unknown,21
AGUSTA AEROSPACE CORP,Unknown,2
AGUSTA BELL,Unknown,5
AGUSTA SPA,Unknown,7
AGUSTAWESTLAND,Unknown,4
AGUSTAWESTLAND PHILADELPHIA,Unknown,1
AGUSTAWESTLAND PHILADELPHIA CO,Unknown,1
AGUSTAWESTLAND SPA,Unknown,2
AHRENS GERD H,Unknown,1
AIR COMMAND,Unknown,2
AIR CREATION,Unknown,13
AIR CREATION USA LLC,Unknown,2
AIR GULFSTREAM AIRLINES INC,Unknown,1
AIR TRACTOR,Unknown,96
AIR TRACTOR INC,Unknown,217
AIR TRACTOR INC.,Unknown,1
AIRBORNE,Unknown,14
AIRBORNE (AUSTRALIA),Unknown,1
AIRBORNE AUSTRALIA,Unknown,1
AIRBORNE EXTREME LLC,Unknown,1
AIRBORNE WINDSPORTS,Unknown,1
AIRBORNE WINDSPORTS PTY LTD,Unknown,12
AIRBUS,Unknown,251
AIRBUS HELICOPTER,Unknown,1
AIRBUS HELICOPTERS,Unknown,10
AIRBUS HELICOPTERS INC,Unknown,3
AIRBUS Helicopters,Unknown,1
AIRBUS INDUSTRIE,Unknown,22
AIRBUS/EUROCOPTER,Unknown,1
AIRCRAFT INDUSTRIES A.S.,Unknown,1
AIRCRAFT MFG & DESIGN LLC,Unknown,1
AIRCRAFT MFG & DEVELOPMENT CO,Unknown,4
AIRCRAFT MFG & DVLPMT CO,Unknown,2
AIRFRAMES UNLIMITED,Unknown,2
AIRGYRO,Unknown,1
AIRGYRO AVIATION LLC,Unknown,1
AIRMAX CONSTRUCOES AERONAUTICA,Unknown,1
AIRPARTS NZ LTD,Unknown,1
AIRPLANE FACTORY (PTY) LTD,Unknown,2
AIRPLANE FACTORY (PTY) LTD THE,Unknown,1
AIRTIME,Unknown,1
AIRTIME AIRCRAFT INC,Unknown,2
AIRvan,Unknown,1
ALASKAN AIR ADVENTURES LLC,Unknown,1
ALBRIGHT STAN,Unknown,1
ALEX MICHAEL BANTUM/TERCEL USA,Unknown,1
ALEXANDER,Unknown,1
ALEXANDER DUANE A,Unknown,1
ALEXANDER SCHLEICHER GMBH & CO,Unknown,5
ALEXANDER THOMAS P,Unknown,1
ALEXANDER VAGNER,Unknown,1
ALGIMANTAS JONUSAS,Unknown,1
ALIEV BULENT,Unknown,1
ALISPORT SRL,Unknown,2
ALLAN G PIXLEY,Unknown,1
ALLARDYCE MICHAEL,Unknown,1
ALLEN,Unknown,2
ALLEN JAN A,Unknown,1
ALLEN RAYMOND H,Unknown,1
ALLEN ROBERT,Unknown,1
ALLEN W INKS,Unknown,1
ALLIANT AVIATION,Unknown,1
ALLSTAR PZL GLIDER,Unknown,1
ALON,Unknown,11
ALONSO,Unknown,1
ALPI AVIATION,Unknown,1
ALVAREZ MARVIN R,Unknown,2
AMATEUR BUILT AIRCRAFT,Unknown,3
AMATEUR CONSTRUCTION,Unknown,6
AMATURE BUILT,Unknown,1
AMD,Unknown,1
AMEN,Unknown,1
AMERICAN,Unknown,14
AMERICAN AIR RACING LTD,Unknown,1
AMERICAN AVIATION,Unknown,12
AMERICAN BLIMP,Unknown,1
AMERICAN CHAMPION,Unknown,3
AMERICAN CHAMPION AIRCRAFT,Unknown,46
AMERICAN Champion,Unknown,1
AMERICAN EUROCOPTER,Unknown,2
AMERICAN EUROCOPTER CORP,Unknown,6
AMERICAN EUROCOPTER LLC,Unknown,4
AMERICAN GENERAL ACFT CORP,Unknown,3
AMERICAN LEGEND,Unknown,2
AMERICAN LEGEND AIRCRAFT CO,Unknown,17
AMERICAN LONGEVITY CORP,Unknown,1
AMES ANGIER M,Unknown,1
AMIRKHANIAN SHAHRAM CHARL,Unknown,1
AMS FLIGHT,Unknown,1
AMS Flight,Unknown,2
AMS-FLIGHT D.O.O.,Unknown,1
AMSTUTZ CURTIS J,Unknown,1
ANATRA BART T,Unknown,1
ANDERAS,Unknown,1
ANDERSON ANDREAS,Unknown,1
ANDERSON DARRELL L,Unknown,1
ANDERSON JOHN H,Unknown,1
ANDERSON R E/ABROMAVICH L J,Unknown,1
ANDREW HAROLD,Unknown,1
ANDREWS,Unknown,1
ANG,Unknown,1
ANGUS WATT,Unknown,1
ANKERSTAR BRADLEY D,Unknown,1
"ANKESTAR, BRADLEY D.",Unknown,1
ANTARES,Unknown,3
ANTARES US,Unknown,1
ANTENOR VELAZCO,Unknown,1
ANTONOV,Unknown,6
ANTONOVICH ANTON B,Unknown,1
APOLLO,Unknown,1
APOLLO AIRCRAFT INC,Unknown,3
APPLEBY,Unknown,1
APPLEGATE,Unknown,1
ARADO-FLUGZEUGWERKE GMBH,Unknown,2
ARBC INC,Unknown,1
ARBC INC DBA LINDSTRAND,Unknown,6
ARCTIC AIRCRAFT CO INC,Unknown,1
ARGENCE,Unknown,1
ARION,Unknown,2
ARION AIRCRAFT LLC,Unknown,5
ARION SKYS OPEN SPORT AVIATION,Unknown,1
ARIOSTO JAMES J,Unknown,1
ARNOLD,Unknown,1
ARNOLD J/JONES D L,Unknown,1
ARROW FALCON EXPORTERS INC,Unknown,6
ART LEE DELANO,Unknown,1
ARTER WARREN,Unknown,1
ARVOLD JORDON R,Unknown,1
AS+ LTD,Unknown,1
ASTON KINSEY,Unknown,1
ATEC,Unknown,1
ATKINS,Unknown,1
ATKINS JOHN,Unknown,1
ATKINSON,Unknown,1
ATR,Unknown,19
ATTAWAY ROBERT H,Unknown,1
AUGUSTINE DAVID L,Unknown,1
AUMAN JL,Unknown,1
AURORA,Unknown,1
AUTOGYRO,Unknown,2
AUTOGYRO GMBH,Unknown,2
AUTOGYRO USA LLC,Unknown,1
AVE STEPHEN,Unknown,1
AVEKO SRO,Unknown,2
AVENTURA,Unknown,1
AVERY JACK H,Unknown,1
AVES DOUGLAS JAMES,Unknown,1
AVIA STROITEL,Unknown,2
AVIAMILANO,Unknown,1
AVIAN BALLOON,Unknown,1
AVIAT,Unknown,28
AVIAT AIRCRAFT,Unknown,1
AVIAT AIRCRAFT INC,Unknown,72
AVIAT INC,Unknown,8
AVIATE,Unknown,1
AVID,Unknown,4
AVIONS FAIREY,Unknown,1
AVIONS MAX HOLSTE,Unknown,1
AVIONS MUDRY CIE,Unknown,1
AVIONS MUDRY ET CIE,Unknown,1
AVIONS ROBIN,Unknown,3
AVRO,Unknown,3
AXELL CHARLES L,Unknown,1
AYERS,Unknown,1
AYRES,Unknown,23
AYRES CORP,Unknown,1
AYRES CORPORATION,Unknown,38
AYRES THRUSH,Unknown,2
Aaa Aircraft Leasing,Cruise,1
Ab Sportine Aviacija,Landing,1
Ab Sportine Aviacija,Takeoff,1
Abbott,Approach,1
Abbott,Takeoff,2
Abc,Unknown,1
Abernathy,Descent,1
Abernathy,Maneuvering,1
Abraham J G Ii/erickson K,Maneuvering,1
Abrams,Cruise,1
Abrams/nuding,Climb,1
Abruzzo,Descent,1
Ac Mfg & Dev't Co,Landing,1
Aces High,Takeoff,1
Ackert,Landing,1
Acro Sport,Landing,1
Acro Sport,Takeoff,1
Acro Sport,Unknown,1
Acroduster,Takeoff,1
Acroduster,Unknown,1
Adams,Approach,2
Adams,Cruise,1
Adams,Descent,1
Adams,Landing,12
Adams,Maneuvering,1
Adams,Standing,2
Adams,Takeoff,4
Adams Balloon,Descent,1
Adams William C,Takeoff,1
Adkins,Takeoff,1
Adkins,Unknown,1
Adler,Maneuvering,1
Adolfson,Takeoff,1
Adolphson,Unknown,1
Adrian Davis,Cruise,1
Advance Aviation,Takeoff,1
Advanced Acft,Takeoff,1
Advanced Aviation,Takeoff,1
Advanced Technology,Maneuvering,1
Advanced Technology,Takeoff,1
Adventura,Climb,1
Advertising MGMT & Consulting,Unknown,1
"Aegerter, Simon",Landing,1
Aerial Productions Intl. Inc.,Approach,1
Aermacchi,Takeoff,1
Aero Adventure,Unknown,1
Aero Bristell,Unknown,1
Aero Commander,Approach,46
Aero Commander,Climb,15
Aero Commander,Cruise,59
Aero Commander,Descent,8
Aero Commander,Go-around,4
Aero Commander,Landing,42
Aero Commander,Maneuvering,71
Aero Commander,Standing,6
Aero Commander,Takeoff,72
Aero Commander,Taxi,3
Aero Commander,Unknown,34
Aero Comp Inc,Cruise,1
Aero Design Eleven,Landing,1
Aero Designs,Unknown,1
Aero Eli Servizi,Unknown,1
"Aero Falcon Intl., Inc.",Takeoff,1
Aero Mercantil S.a.,Descent,1
Aero Mirage,Maneuvering,1
Aero Partners One Llc,Go-around,1
Aero SP Z O O (Gobosh),Unknown,1
"Aero Tek, Inc.",Approach,1
Aero Vodochody,Approach,1
Aero Vodochody,Go-around,1
Aero Vodochody,Maneuvering,4
Aero Vodochody,Unknown,2
Aero Vodochody Aero Works,Takeoff,1
Aero Vodochody Aero. Works,Climb,1
Aero Vodochody Aero. Works,Cruise,1
Aero Vodochody Aero. Works,Descent,1
