Purpose.of.flight,Broad.phase.of.flight,Incident Count
ASHO,Unknown,6
Aerial Application,Approach,65
Aerial Application,Climb,42
Aerial Application,Cruise,287
Aerial Application,Descent,28
Aerial Application,Go-around,7
Aerial Application,Landing,265
Aerial Application,Maneuvering,2023
Aerial Application,Standing,22
Aerial Application,Takeoff,866
Aerial Application,Taxi,13
Aerial Application,Unknown,1094
Aerial Observation,Approach,25
Aerial Observation,Climb,11
Aerial Observation,Cruise,124
Aerial Observation,Descent,12
Aerial Observation,Go-around,1
Aerial Observation,Landing,35
Aerial Observation,Maneuvering,177
Aerial Observation,Other,2
Aerial Observation,Standing,10
Aerial Observation,Takeoff,53
Aerial Observation,Taxi,11
Aerial Observation,Unknown,333
Air Drop,Climb,1
Air Drop,Maneuvering,1
Air Drop,Unknown,9
Air Race show,Unknown,99
Air Race/show,Approach,1
Air Race/show,Climb,1
Air Race/show,Cruise,5
Air Race/show,Descent,2
Air Race/show,Landing,10
Air Race/show,Maneuvering,27
Air Race/show,Takeoff,10
Air Race/show,Taxi,1
Air Race/show,Unknown,2
Banner Tow,Cruise,6
Banner Tow,Landing,2
Banner Tow,Maneuvering,13
Banner Tow,Standing,1
Banner Tow,Takeoff,2
Banner Tow,Taxi,1
Banner Tow,Unknown,76
Business,Approach,440
Business,Climb,147
Business,Cruise,755
Business,Descent,140
Business,Go-around,63
Business,Landing,775
Business,Maneuvering,266
Business,Other,2
Business,Standing,52
Business,Takeoff,581
Business,Taxi,129
Business,Unknown,668
Executive/corporate,Approach,81
Executive/corporate,Climb,24
Executive/corporate,Cruise,71
Executive/corporate,Descent,15
Executive/corporate,Go-around,9
Executive/corporate,Landing,112
Executive/corporate,Maneuvering,14
Executive/corporate,Standing,6
Executive/corporate,Takeoff,67
Executive/corporate,Taxi,26
Executive/corporate,Unknown,128
External Load,Cruise,1
External Load,Maneuvering,12
External Load,Standing,1
External Load,Takeoff,2
External Load,Unknown,107
Ferry,Approach,60
Ferry,Climb,24
Ferry,Cruise,264
Ferry,Descent,26
Ferry,Go-around,6
Ferry,Landing,83
Ferry,Maneuvering,26
Ferry,Standing,10
Ferry,Takeoff,138
Ferry,Taxi,15
Ferry,Unknown,160
Firefighting,Cruise,1
Firefighting,Maneuvering,2
Firefighting,Takeoff,1
Firefighting,Unknown,36
Flight Test,Approach,26
Flight Test,Climb,8
Flight Test,Cruise,16
Flight Test,Descent,4
Flight Test,Go-around,3
Flight Test,Landing,17
Flight Test,Maneuvering,22
Flight Test,Other,3
Flight Test,Standing,2
Flight Test,Takeoff,40
Flight Test,Taxi,6
Flight Test,Unknown,258
Glider Tow,Descent,1
Glider Tow,Landing,2
Glider Tow,Standing,1
Glider Tow,Takeoff,7
Glider Tow,Unknown,42
Instructional,Approach,799
